+1:0.0933,0.5704,0.1350,0.2912,0.4602
-1:0.2525,0.7541,0.0573,0.3044,0.7920
+1:0.0986,0.0191,0.9376,0.2359,0.4511
-1:0.6811,0.0941,0.7726,0.4320,0.2699
+1:0.9606,0.8674,0.3829,0.2510,0.3698
-1:0.8641,0.0864,0.9980,0.4805,0.3169
+1:0.3511,0.3818,0.3529,0.3170,0.1091
-1:0.1169,0.9780,0.8403,0.3965,0.4496
+1:0.8218,0.3829,0.2291,0.8645,0.3915
-1:0.8229,0.4840,0.5907,0.2237,0.2558
+1:0.0925,0.0007,0.8651,0.1030,0.8376
-1:0.2054,0.6648,0.9507,0.1362,0.5181
+1:0.8510,0.6895,0.8471,0.9585,0.1758
-1:0.7802,0.8781,0.9377,0.1899,0.4744
+1:0.7338,0.8255,0.8427,0.3141,0.8129
-1:0.6543,0.7365,0.9917,0.2423,0.3811
+1:0.6440,0.1654,0.9326,0.7632,0.8097
-1:0.7892,0.2646,0.6853,0.2303,0.6676
+1:0.3050,0.7760,0.3562,0.2752,0.2327
-1:0.7969,0.1329,0.4889,0.7808,0.3425
+1:0.5314,0.2549,0.2750,0.5458,0.5211
-1:0.3416,0.5667,0.4567,0.4888,0.7811
+1:0.9717,0.2923,0.4074,0.7274,0.1782
-1:0.5395,0.3789,0.3033,0.5077,0.1576
+1:0.2545,0.1140,0.0215,0.8694,0.1314
-1:0.4352,0.7134,0.0278,0.0389,0.5265
+1:0.7771,0.8800,0.5557,0.2146,0.4759
-1:0.8074,0.2510,0.3410,0.8398,0.0657
+1:0.6005,0.6997,0.6017,0.7677,0.6153
-1:0.2272,0.3715,0.0513,0.0388,0.1222
+1:0.2723,0.1452,0.8628,0.9976,0.1803
-1:0.7604,0.3705,0.5105,0.9336,0.8867
+1:0.5237,0.2116,0.1481,0.2124,0.7965
-1:0.5520,0.2707,0.9780,0.3418,0.3649
+1:0.7887,0.5877,0.4264,0.5921,0.6101
-1:0.4697,0.9511,0.8973,0.9528,0.2144
+1:0.0923,0.2223,0.1756,0.7203,0.1379
-1:0.0647,0.8003,0.9502,0.9000,0.6004
+1:0.1015,0.0845,0.5997,0.8899,0.0323
-1:0.1159,0.5428,0.7463,0.8371,0.1421
+1:0.2695,0.5759,0.9407,0.9431,0.8038
-1:0.8592,0.2248,0.3569,0.5010,0.6914
+1:0.7928,0.4102,0.1055,0.4595,0.4701
-1:0.5123,0.5607,0.5619,0.9784,0.7880
+1:0.8455,0.3552,0.4499,0.6997,0.9272
